Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.310,69.508,69.692,69.860,70.014,70.152,70.271,70.374,70.465,70.551,70.640,70.743,70.867,71.017,71.195,71.402,71.634,71.884,72.143,72.409,72.678,72.950,73.227,73.505,73.783,74.055,74.314,74.560,74.792,75.013,75.228,75.320,75.820,75.871,76.271,76.422,76.673,77.073,77.476,77.727,77.927,78.329,78.229,78.380,78.680,78.932,79.132,79.534,79.737,79.837,79.988,80.437,80.539,80.490,81.090,80.641,80.641
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.038,44.469,44.892,45.309,45.727,46.166,46.654,47.203,47.814,48.476,49.160,49.827,50.442,50.982,51.442,51.832,52.177,52.513,52.865,53.241,53.639,54.049,54.451,54.828,55.174,55.488,55.772,56.032,56.271,56.488,56.678,56.831,56.943,57.017,57.056,57.065,57.050,57.022,56.998,56.992,57.021,57.100,57.233,57.424,57.677,57.999,58.393,58.848,59.345,59.865,60.383,60.870,61.310,61.691,62.006,62.260,62.465
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,71.463,,,,,71.963,,,,,73.951,,,,,75.951,,,,,76.598,,,,,,,,,,,,,,
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.177,72.438,72.320,72.400,72.485,72.371,72.444,72.922,73.121,73.221,73.343,73.415,73.439,73.682,73.808,74.075,73.740,74.632,74.393,74.219,74.102,74.230,74.551,74.420,74.562,74.428,74.580,74.691,74.772,74.800,74.805,75.158,75.194,75.117,75.375,75.213,75.591,75.945,76.139,76.341,76.593,76.793,76.895,77.144,77.493,77.844,78.095,78.195,78.446,78.598,79.100,79.800,80.051,80.300,80.700,80.702,80.705
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.787,52.519,53.237,53.943,54.634,55.312,55.975,56.625,57.259,57.875,58.468,59.033,59.569,60.073,60.549,60.997,61.417,61.817,62.205,62.588,62.977,63.380,63.803,64.247,64.714,65.207,65.728,66.267,66.812,67.352,67.866,68.335,68.749,69.103,69.397,69.637,69.837,70.017,70.193,70.374,70.568,70.775,70.990,71.207,71.425,71.644,71.862,72.078,72.290,72.498,72.702,72.901,73.098,73.292,73.483,73.673,73.861
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.138,46.596,47.054,47.507,47.956,48.392,48.809,49.208,49.595,49.980,50.369,50.770,51.198,51.673,52.215,52.863,53.658,54.606,55.696,56.906,58.196,59.521,60.823,62.047,63.156,64.113,64.896,65.525,66.025,66.416,66.725,66.983,67.226,67.482,67.774,68.115,68.504,68.926,69.367,69.822,70.292,70.778,71.276,71.780,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.860,76.078
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.725,46.173,46.894,47.925,49.273,50.860,52.572,54.272,55.841,57.221,58.389,59.361,60.206,60.984,61.713,62.404,63.064,63.683,64.255,64.781,65.258,65.687,66.075,66.424,66.741,67.028,67.288,67.523,67.735,67.931,68.115,68.291,68.463,68.638,68.825,69.035,69.280,69.562,69.880,70.226,70.594,70.972,71.343,71.697,72.026,72.325,72.595,72.841,73.070,73.284,73.482,73.669,73.846,74.013,74.176,74.335,74.493
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.211,45.880,46.489,47.037,47.640,48.235,48.872,49.437,49.983,50.514,51.037,51.559,52.084,52.623,53.170,53.722,54.274,54.814,55.335,55.830,56.298,56.742,57.171,57.596,58.022,58.451,58.882,59.313,59.740,60.170,60.604,61.032,61.460,61.888,62.307,62.713,63.102,63.470,63.822,64.160,64.486,64.806,65.125,65.448,65.780,66.123,66.480,66.845,67.217,67.590,67.956,68.308,68.643,68.958,69.249,69.517,69.766
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.455,48.988,49.662,50.641,51.843,53.216,54.752,56.243,57.618,58.857,59.909,60.828,61.622,62.319,63.020,63.691,64.301,64.884,65.407,65.898,66.310,66.724,67.113,67.428,67.755,68.041,68.312,68.558,68.745,68.954,69.130,69.316,69.475,69.651,69.850,70.028,70.304,70.585,70.882,71.202,71.579,71.952,72.303,72.641,72.963,73.234,73.516,73.761,73.981,74.207,74.384,74.546,74.741,74.919,75.086,75.249,75.396
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.414,63.932,64.326,64.690,64.988,65.214,65.384,65.505,65.649,65.737,65.981,66.185,66.230,66.340,66.445,66.276,66.263,66.273,66.335,66.276,66.396,66.610,66.941,67.056,67.050,67.463,68.218,68.387,68.459,68.417,68.298,68.054,67.410,66.566,66.327,66.382,66.872,67.474,67.803,67.665,67.722,67.907,67.931,68.060,68.391,68.523,69.144,69.646,69.938,70.533,70.837,71.399,71.723,72.115,72.319,72.584,72.867
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.037,67.401,67.493,67.762,68.158,68.308,68.518,68.641,68.710,68.716,68.993,69.130,69.334,69.429,69.633,69.607,69.708,69.881,69.970,70.089,70.193,70.458,70.750,70.819,70.969,71.182,71.667,71.884,72.011,72.074,72.077,71.986,71.916,71.599,71.667,71.766,72.152,72.559,72.866,72.916,73.071,73.347,73.434,73.545,73.978,74.140,74.634,74.991,75.247,75.641,75.929,76.442,76.588,76.901,77.217,77.156,77.282
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.236,53.842,54.409,54.932,55.407,55.840,56.237,56.615,56.992,57.377,57.783,58.216,58.678,59.167,59.682,60.222,60.781,61.353,61.930,62.511,63.095,63.686,64.286,64.896,65.511,66.126,66.735,67.332,67.910,68.464,68.990,69.487,69.956,70.400,70.820,71.217,71.594,71.953,72.297,72.624,72.933,73.220,73.482,73.720,73.937,74.136,74.322,74.501,74.678,74.859,75.046,75.244,75.449,75.661,75.879,76.102,76.327
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.056,48.623,49.147,49.641,50.113,50.556,50.955,51.302,51.602,51.874,52.155,52.487,52.902,53.414,54.027,54.723,55.471,56.228,56.963,57.665,58.338,59.001,59.677,60.378,61.097,61.812,62.494,63.117,63.669,64.151,64.580,64.987,65.401,65.840,66.308,66.789,67.259,67.690,68.061,68.368,68.613,68.807,68.972,69.127,69.282,69.444,69.618,69.797,69.980,70.167,70.357,70.550,70.742,70.933,71.120,71.304,71.484
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.274,69.645,69.604,69.774,70.233,70.320,70.597,70.737,70.787,70.794,71.158,71.266,71.606,71.701,72.027,72.170,72.436,72.791,73.012,73.335,73.530,73.812,74.155,74.230,74.588,74.758,75.057,75.348,75.536,75.762,75.911,76.025,76.380,76.487,76.795,76.956,77.218,77.581,77.797,78.021,78.275,78.597,78.684,78.707,79.279,79.426,79.856,80.100,80.303,80.505,80.747,81.233,81.227,81.513,81.933,81.560,81.560
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.418,39.074,39.693,40.259,40.768,41.222,41.631,42.016,42.395,42.774,43.157,43.547,43.935,44.317,44.691,45.055,45.405,45.740,46.059,46.364,46.654,46.927,47.187,47.441,47.695,47.956,48.230,48.523,48.841,49.193,49.589,50.040,50.545,51.099,51.693,52.311,52.932,53.539,54.126,54.693,55.258,55.847,56.483,57.174,57.916,58.691,59.472,60.230,60.940,61.591,62.181,62.718,63.220,63.703,64.174,64.636,65.092
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.109,69.480,69.519,69.681,70.400,70.809,71.055,71.253,71.538,71.058,72.027,71.630,72.818,72.611,72.970,73.319,73.643,74.132,74.296,74.819,75.349,75.529,76.134,75.909,76.295,76.260,76.510,76.728,76.747,76.814,76.838,76.971,77.410,77.547,77.901,77.981,78.120,78.604,78.666,78.717,78.966,79.368,79.568,79.620,79.871,80.171,80.822,80.873,81.176,81.476,81.627,82.476,82.427,83.078,83.229,82.832,82.832
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.903,68.361,68.741,69.054,69.310,69.518,69.681,69.802,69.883,69.928,69.937,69.905,69.833,69.725,69.590,69.441,69.290,69.147,69.026,68.939,68.906,68.978,69.127,69.376,69.278,69.380,70.085,70.644,70.698,70.039,69.476,69.373,68.863,67.910,66.500,67.544,69.612,69.810,69.359,70.063,70.417,70.259,70.905,71.317,71.910,72.568,72.691,72.815,73.771,74.824,75.429,76.229,76.327,77.141,77.034,77.590,77.737
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.419,39.082,39.711,40.290,40.810,41.267,41.668,42.026,42.355,42.659,42.944,43.213,43.465,43.693,43.894,44.045,44.116,44.103,44.016,43.880,43.746,43.674,43.711,43.884,44.198,44.633,45.146,45.682,46.194,46.668,47.100,47.505,47.912,48.346,48.812,49.305,49.811,50.322,50.836,51.366,51.940,52.593,53.347,54.209,55.172,56.221,57.333,58.466,59.580,60.643,61.625,62.501,63.275,63.952,64.535,65.037,65.475
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.280,69.590,69.515,69.760,70.227,70.338,70.568,70.678,70.724,70.680,70.999,71.107,71.415,71.535,71.826,71.922,72.127,72.410,72.525,72.769,72.864,73.203,73.465,73.528,73.803,73.877,74.145,74.388,74.578,74.744,74.869,74.969,75.288,75.395,75.691,75.815,76.067,76.361,76.596,76.825,77.159,77.493,77.606,77.694,78.193,78.365,78.739,78.968,79.183,79.442,79.725,80.240,80.251,80.533,80.921,80.614,80.620
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.650,41.168,41.709,42.276,42.871,43.486,44.110,44.728,45.326,45.901,46.449,46.975,47.487,47.985,48.468,48.928,49.360,49.761,50.137,50.498,50.857,51.332,51.712,52.104,52.503,52.900,53.282,53.643,53.961,54.243,54.585,54.788,54.959,55.111,55.252,55.393,55.541,55.703,55.878,56.067,56.312,56.596,56.923,57.290,57.690,58.115,58.557,59.004,59.442,59.863,60.264,60.645,61.014,61.375,61.726,62.066,62.397
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.820,68.844,68.578,69.013,69.221,68.978,69.477,69.667,69.616,69.503,70.180,70.018,70.707,71.224,71.135,71.674,71.813,72.350,72.897,73.155,73.440,73.747,74.298,74.201,74.519,74.223,74.560,74.592,74.577,74.792,74.813,75.228,75.455,75.705,76.396,76.410,76.693,76.879,77.091,77.291,77.466,77.966,78.120,78.368,78.715,78.817,79.215,79.263,79.568,79.720,79.871,80.471,80.627,80.976,81.180,81.480,81.780
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.860,56.292,56.716,57.133,57.545,57.950,58.350,58.741,59.123,59.495,59.857,60.207,60.546,60.873,61.191,61.500,61.803,62.102,62.397,62.689,62.978,63.262,63.540,63.811,64.074,64.329,64.577,64.818,65.054,65.284,65.510,65.731,65.948,66.161,66.370,66.575,66.777,66.976,67.172,67.365,67.553,67.734,67.910,68.079,68.243,68.405,68.569,68.737,68.909,69.087,69.267,69.448,69.625,69.796,69.960,70.117,70.269
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.868,70.117,70.315,70.515,70.663,70.812,70.961,71.161,71.310,71.459,71.659,71.907,72.107,72.356,72.605,72.854,73.102,73.351,73.602,73.851,74.051,74.300,74.500,74.800,75.000,75.300,75.600,75.800,76.100,76.349,76.600,76.849,77.100,77.300,77.649,77.751,77.954,78.305,78.605,78.756,79.056,79.159,79.261,79.115,80.163,80.163,80.812,81.112,81.215,81.415,81.663,82.115,81.968,82.220,82.671,82.273,82.273
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,74.498,,,,,75.985,,,,,,,,75.266,75.466,75.715,75.915,76.115,76.415,76.615,76.915,77.166,77.417,77.620,77.822,78.027,78.280,78.485,78.639,78.841,78.941,79.141,79.341,79.639,79.888,80.188,80.388,80.637,80.888,81.188,81.439,81.690,81.990,82.241
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.580,57.980,58.379,58.777,59.176,59.576,59.979,60.386,60.797,61.211,61.634,62.071,62.519,62.971,63.419,63.843,64.225,64.552,64.817,65.021,65.171,65.280,65.368,65.452,65.541,65.641,65.752,65.868,65.983,66.098,66.212,66.325,66.439,66.552,66.665,66.776,66.884,66.990,67.092,67.195,67.300,67.414,67.539,67.675,67.820,67.969,68.115,68.251,68.375,68.484,68.582,68.673,68.765,68.862,68.966,69.078,69.195
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.587,39.946,40.392,40.944,41.606,42.367,43.204,44.082,44.966,45.842,46.698,47.535,48.363,49.190,50.018,50.846,51.676,52.510,53.344,54.177,55.014,55.864,56.722,57.574,58.398,59.162,59.832,60.382,60.798,61.075,61.215,61.230,61.152,61.012,60.832,60.619,60.372,60.095,59.804,59.527,59.302,59.171,59.154,59.266,59.512,59.890,60.388,60.969,61.597,62.247,62.893,63.519,64.119,64.686,65.211,65.685,66.105
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.127,70.878,70.927,70.827,71.624,71.624,71.573,72.124,71.724,71.722,71.973,72.273,72.124,72.324,72.524,72.724,72.776,73.224,73.176,73.276,73.676,74.027,74.178,74.378,74.778,74.629,74.929,75.280,75.380,75.583,75.880,76.083,76.434,76.385,76.885,76.837,77.088,77.211,77.190,77.390,77.741,77.993,78.144,78.446,78.746,79.049,79.249,79.449,79.600,80.051,80.402,80.951,80.905,81.005,81.305,80.956,80.956
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.651,64.058,64.468,64.880,65.291,65.694,66.083,66.454,66.805,67.136,67.452,67.766,68.082,68.401,68.718,69.014,69.266,69.461,69.592,69.665,69.700,69.726,69.768,69.844,69.954,70.083,70.204,70.288,70.323,70.311,70.268,70.220,70.196,70.222,70.307,70.462,70.687,70.966,71.274,71.596,71.907,72.182,72.408,72.575,72.682,72.730,72.730,72.704,72.673,72.650,72.649,72.680,72.742,72.832,72.951,73.096,73.261
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.844,46.280,46.697,47.094,47.470,47.824,48.156,48.469,48.768,49.056,49.339,49.623,49.911,50.204,50.505,50.809,51.110,51.405,51.693,51.977,52.268,52.575,52.907,53.272,53.670,54.111,54.605,55.140,55.697,56.251,56.755,57.160,57.439,57.583,57.598,57.507,57.347,57.171,57.032,56.962,56.994,57.147,57.410,57.761,58.187,58.666,59.167,59.663,60.128,60.550,60.924,61.254,61.561,61.860,62.154,62.448,62.742
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.890,35.086,35.266,35.432,35.588,35.740,35.891,36.048,36.222,36.421,36.656,36.933,37.255,37.623,38.039,38.498,38.993,39.517,40.068,40.650,41.279,41.977,42.753,43.607,44.522,45.482,46.463,47.434,48.359,49.208,49.949,50.557,51.032,51.381,51.610,51.717,51.701,51.592,51.434,51.273,51.181,51.229,51.451,51.859,52.444,53.170,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.035,32.317,32.651,33.050,33.523,34.076,34.711,35.417,36.178,36.985,37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.660,45.483,46.293,47.087,47.860,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.110,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.854,38.157,38.481,38.828,39.195,39.580,39.975,40.372,40.767,41.155,41.538,41.917,42.295,42.679,43.068,43.465,43.873,44.292,44.717,45.146,45.569,45.979,46.369,46.737,47.084,47.414,47.734,48.054,48.381,48.718,49.071,49.441,49.825,50.213,50.599,50.969,51.306,51.604,51.860,52.079,52.270,52.450,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.050,55.424,55.807,56.200,56.598,57.000,57.403
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.740,37.041,37.342,37.642,37.942,38.242,38.542,38.842,39.142,39.443,39.738,40.019,40.288,40.550,40.818,41.122,41.493,41.950,42.493,43.111,43.772,44.434,45.054,45.604,46.074,46.469,46.810,47.135,47.473,47.838,48.239,48.677,49.142,49.620,50.104,50.588,51.062,51.521,51.959,52.371,52.752,53.099,53.415,53.709,53.987,54.262,54.550,54.858,55.190,55.543,55.908,56.265,56.601,56.905,57.180,57.434,57.681
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.164,68.549,68.892,69.186,69.429,69.638,69.837,70.052,70.303,70.589,70.904,71.227,71.535,71.815,72.065,72.294,72.520,72.762,73.031,73.329,73.647,73.969,74.279,74.566,74.829,75.079,75.330,75.598,75.891,76.688,76.939,77.137,77.383,77.390,77.639,77.585,77.685,78.137,77.839,77.988,77.888,78.388,78.641,78.841,79.039,79.239,79.439,79.439,79.939,80.188,80.388,80.732,80.634,81.285,81.385,81.037,81.037
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.068,60.503,60.924,61.331,61.725,62.107,62.477,62.835,63.181,63.517,63.843,64.158,64.462,64.755,65.038,65.312,65.577,65.833,66.081,66.322,66.557,66.787,67.012,67.233,67.449,67.660,67.864,68.060,68.247,68.427,68.600,68.765,68.925,69.083,69.241,69.402,69.570,69.748,69.934,70.131,70.337,70.551,70.770,70.991,71.213,71.438,71.667,71.903,72.142,72.383,72.618,72.840,73.044,73.227,73.388,73.531,73.659
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,63.415,63.955,63.450,63.075,63.193,63.300,63.467,63.834,64.249,64.654,64.582,64.668,65.068,65.032,65.196,65.585,65.901,65.644,65.767,65.798,66.157,66.403,66.963,67.608,68.163,68.435,68.807,69.221,69.519,69.983,70.213,70.468,70.857,71.062,71.299,71.830,,,
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.702,47.219,47.750,48.295,48.856,49.434,50.032,50.646,51.267,51.889,52.501,53.091,53.652,54.181,54.676,55.140,55.577,56.000,56.418,56.840,57.272,57.719,58.183,58.661,59.154,59.661,60.176,60.694,61.214,61.735,62.261,62.799,63.352,63.921,64.502,65.090,65.678,66.257,66.817,67.351,67.849,68.304,68.717,69.092,69.437,69.763,70.085,70.415,70.760,71.122,71.494,71.867,72.227,72.562,72.869,73.150,73.409
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.970,61.481,61.986,62.482,62.968,63.443,63.907,64.361,64.805,65.239,65.662,66.074,66.473,66.860,67.235,67.599,67.951,68.292,68.624,68.947,69.262,69.567,69.864,70.151,70.431,70.701,70.960,71.209,71.450,71.687,71.925,72.167,72.420,72.685,72.967,73.267,73.589,73.930,74.283,74.646,75.010,75.369,75.715,76.047,76.362,76.663,76.956,77.249,77.543,77.840,78.134,78.419,78.689,78.938,79.168,79.379,79.575
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.260,60.441,60.623,60.805,60.984,61.157,61.317,61.462,61.588,61.697,61.789,61.868,61.938,62.005,62.072,62.140,62.211,62.283,62.355,62.427,62.498,62.565,62.626,62.684,62.741,62.801,62.869,62.950,63.046,63.159,63.290,63.438,63.600,63.770,63.946,64.122,64.297,64.466,64.630,64.785,64.930,65.065,65.192,65.313,65.428,65.538,65.642,65.741,65.836,65.929,66.022,66.117,66.216,66.318,66.425,66.536,66.650
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.497,68.882,68.862,69.076,69.482,69.595,69.864,70.095,70.039,70.244,70.576,70.858,71.153,71.324,71.737,72.084,72.343,72.696,72.853,73.180,73.206,73.564,73.893,73.996,74.280,74.400,74.647,74.919,75.033,75.281,75.442,75.616,75.873,75.954,76.240,76.303,76.678,77.012,77.195,77.337,77.618,77.914,78.050,78.177,78.592,78.685,78.987,79.222,79.366,79.643,79.819,80.059,80.175,80.356,80.616,80.495,80.527
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.962,67.549,68.106,68.626,69.104,69.543,69.946,70.326,70.691,71.045,71.387,71.459,71.456,72.110,72.612,73.368,72.820,73.320,73.576,73.673,74.673,75.324,75.429,75.276,76.029,76.434,76.685,76.883,77.083,77.029,77.380,77.883,77.678,78.032,78.529,78.683,79.627,80.127,80.132,80.383,80.878,81.424,81.427,81.378,81.829,81.629,82.376,82.327,82.376,82.776,82.978,83.422,83.480,83.832,83.980,84.278,84.227
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.274,46.953,47.625,48.285,48.926,49.548,50.151,50.742,51.330,51.921,52.523,53.140,53.779,54.440,55.125,55.834,56.567,57.318,58.080,58.851,59.632,60.428,61.236,62.051,62.859,63.643,64.382,65.063,65.679,66.230,66.725,67.180,67.616,68.047,68.476,68.898,69.301,69.672,70.001,70.288,70.537,70.756,70.957,71.150,71.341,71.532,71.724,71.911,72.093,72.270,72.446,72.624,72.805,72.990,73.181,73.376,73.575
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.575,40.009,40.436,40.855,41.264,41.667,42.067,42.467,42.871,43.277,43.687,44.100,44.513,44.922,45.323,45.712,46.083,46.436,46.773,47.095,47.407,47.716,48.024,48.330,48.628,48.906,49.146,49.337,49.477,49.578,49.663,49.761,49.892,50.064,50.267,50.496,50.755,51.048,51.381,51.762,52.201,52.710,53.289,53.934,54.633,55.371,56.129,56.889,57.630,58.338,59.002,59.615,60.183,60.713,61.205,61.660,62.082
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.609,65.016,65.408,65.788,66.154,66.512,66.863,67.209,67.549,67.881,68.200,68.502,68.779,69.029,69.253,70.002,70.455,70.744,70.539,70.427,70.175,70.344,70.483,70.275,70.219,70.886,71.419,71.470,71.488,71.845,72.170,72.185,71.241,71.522,71.803,72.084,72.365,72.495,72.317,72.642,72.808,74.513,74.717,74.614,75.520,75.245,75.837,75.706,75.912,76.168,76.476,76.776,76.924,77.127,77.478,77.276,78.022
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.113,42.697,43.277,43.849,44.412,44.955,45.472,45.955,46.405,46.823,47.215,47.592,47.965,48.341,48.723,49.107,49.485,49.849,50.196,50.527,50.852,51.182,51.527,51.892,52.279,52.680,53.088,53.492,53.881,54.253,54.609,54.954,55.296,55.639,55.981,56.316,56.635,56.933,57.209,57.467,57.716,57.969,58.239,58.535,58.860,59.219,59.610,60.023,60.448,60.876,61.296,61.699,62.078,62.432,62.757,63.055,63.330
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.003,68.936,67.866,68.874,69.381,69.071,69.822,69.407,69.230,69.315,69.165,69.052,69.665,69.518,69.248,69.290,69.573,69.848,69.394,69.615,69.062,69.139,69.358,68.974,69.026,68.972,69.173,69.651,70.023,69.462,69.316,69.377,69.117,69.101,69.470,69.792,70.329,70.702,70.558,70.677,71.246,72.249,72.349,72.300,72.649,72.649,73.098,73.151,73.702,73.905,74.207,74.859,75.063,75.566,75.763,75.568,75.568
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.674,49.198,49.802,50.545,51.415,52.393,53.411,54.414,55.382,56.242,57.039,57.742,58.387,58.998,59.589,60.106,60.620,61.094,61.537,61.932,62.301,62.670,63.021,63.329,63.613,63.942,64.316,64.617,64.910,65.176,65.435,65.682,65.884,66.072,66.323,66.611,66.950,67.308,67.643,67.931,68.247,68.572,68.875,69.179,69.495,69.783,70.111,70.422,70.711,71.023,71.304,71.600,71.859,72.114,72.341,72.556,72.763
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.550,48.065,48.651,49.358,50.168,51.063,51.986,52.887,53.751,54.519,55.231,55.863,56.449,57.010,57.558,58.049,58.542,59.004,59.440,59.834,60.202,60.568,60.915,61.222,61.504,61.816,62.158,62.434,62.695,62.930,63.153,63.369,63.541,63.706,63.925,64.176,64.473,64.792,65.088,65.357,65.657,65.970,66.275,66.591,66.926,67.246,67.602,67.947,68.274,68.614,68.924,69.237,69.516,69.785,70.027,70.253,70.469
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.921,42.465,43.006,43.544,44.075,44.585,45.061,45.494,45.882,46.229,46.548,46.860,47.184,47.535,47.921,48.345,48.807,49.292,49.780,50.256,50.709,51.171,51.577,51.957,52.316,52.643,52.933,53.186,53.398,53.595,53.768,53.938,54.116,54.302,54.503,54.724,54.968,55.230,55.508,55.816,56.158,56.543,56.974,57.450,57.966,58.510,59.074,59.644,60.204,60.742,61.247,61.716,62.151,62.557,62.936,63.290,63.621
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.605,44.264,44.902,45.516,46.108,46.677,47.227,47.761,48.282,48.790,49.284,49.763,50.225,50.671,51.099,51.514,51.919,52.319,52.711,53.095,53.463,53.809,54.128,54.398,54.631,54.817,54.956,55.060,55.121,55.160,55.175,55.164,55.139,55.095,55.052,55.019,55.006,55.023,55.063,55.146,55.288,55.497,55.776,56.110,56.505,56.949,57.432,57.939,58.452,58.957,59.447,59.903,60.317,60.700,61.050,61.370,61.662
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.651,49.281,49.897,50.499,51.090,51.672,52.249,52.824,53.397,53.968,54.537,55.100,55.655,56.197,56.726,57.240,57.742,58.230,58.707,59.171,59.618,60.045,60.451,60.836,61.203,61.555,61.899,62.241,62.583,62.929,63.281,63.638,63.998,64.353,64.701,65.032,65.339,65.617,65.866,66.087,66.285,66.467,66.643,66.820,67.002,67.191,67.386,67.581,67.775,67.964,68.150,68.331,68.509,68.684,68.856,69.025,69.191
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.119,41.607,42.103,42.605,43.107,43.590,44.031,44.417,44.742,45.012,45.247,45.477,45.732,46.034,46.394,46.818,47.300,47.819,48.347,48.861,49.350,49.868,50.311,50.742,51.160,51.554,51.916,52.241,52.528,52.804,53.057,53.319,53.599,53.903,54.227,54.576,54.948,55.333,55.730,56.149,56.590,57.063,57.567,58.112,58.686,59.279,59.882,60.482,61.065,61.619,62.133,62.610,63.056,63.474,63.868,64.239,64.590
